"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"Globals","0","5581","0","1","0.000000","0","0"
"/ControlRig/Controls/ControlRigGizmoMaterial.ControlRigGizmoMaterial","0","8","3","1","3.631887","0","22"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","0","9","5","1","3.971557","0","29"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","0","9","4","1","3.765757","0","29"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","0","13","5","1","4.602247","0","36"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","0","8","8","1","3.012669","0","13"
"/HairStrands/Materials/HairMeshesDefaultMaterial.HairMeshesDefaultMaterial","0","73","6","1","24.999542","0","629"
"/HairStrands/Materials/HairCardsDefaultMaterial.HairCardsDefaultMaterial","0","111","8","1","35.581039","0","1126"
"/HairStrands/Materials/HairDefaultMaterial.HairDefaultMaterial","0","73","9","1","24.918709","0","523"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","0","13","13","1","4.529113","0","21"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","0","33","8","1","13.037140","0","138"
"/Engine/VREditor/TransformGizmo/Xray.Xray","0","19","7","1","7.657261","0","62"
"/Engine/VREditor/TransformGizmo/Main.Main","0","13","1","1","4.617028","0","42"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","0","13","13","1","4.518497","0","21"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","0","47","8","1","10.934924","0","206"
"/Game/FXVarietyPack/Materials/M_ky_empty.M_ky_empty","0","40","8","1","9.608607","0","152"
"/Engine/EngineMaterials/FlattenMaterial_WS_Normal_VT.FlattenMaterial_WS_Normal_VT","0","93","9","1","46.431782","0","672"
"/Engine/EngineMaterials/FlattenMaterial_VT.FlattenMaterial_VT","0","93","9","1","46.760769","0","672"
"/Engine/EngineMaterials/FlattenMaterial.FlattenMaterial","0","93","9","1","46.641502","0","672"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","0","38","8","1","15.752288","0","173"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","0","13","1","1","4.582463","0","55"
"/Engine/EngineDebugMaterials/M_VolumeRenderSphereTracePP.M_VolumeRenderSphereTracePP","0","10","10","1","4.837963","0","19"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","0","90","23","2","33.736923","0","424"
"/Engine/EngineMaterials/PhAT_JointLimitMaterial.PhAT_JointLimitMaterial","0","16","3","1","6.000300","0","59"
"/ControlRig/M_Manip.M_Manip","0","16","7","1","5.672376","0","58"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","0","8","8","1","3.097544","0","8"
"/Engine/EditorMaterials/WorldPartition/WorldPartitionSpatialHashGridPreviewMaterial.WorldPartitionSpatialHashGridPreviewMaterial","0","10","10","1","3.539742","0","19"
"/HairStrands/Materials/HairDebugMaterial.HairDebugMaterial","0","111","12","1","37.431023","0","920"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","0","61","10","1","138.951111","0","322"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","0","22","10","1","7.560096","0","64"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","0","141","10","1","54.908081","0","1322"
"/Engine/EngineMaterials/DefaultMaterial.DefaultMaterial","0","225","10","1","88.891556","0","2970"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","0","1374","11","1","487.910614","0","89976"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","0","34","7","1","13.309341","0","258"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","0","85","59","6","31.762331","0","207"
"/Engine/EngineMaterials/PPM_DefaultCalibrationGrayscale.PPM_DefaultCalibrationGrayscale","0","10","2","1","3.273601","0","49"
"/Engine/EngineMaterials/PPM_DefaultCalibrationColor.PPM_DefaultCalibrationColor","0","10","1","1","3.299573","0","35"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","0","47","4","1","11.498934","0","342"
"/Game/Animations/Materials/Ch01_body.Ch01_body","0","52","11","1","21.171711","0","203"
"/Game/Animations/Materials/Ch01_hair.Ch01_hair","0","82","11","1","33.256428","0","461"
"/Game/Animations/Materials/Ch10_body.Ch10_body","0","52","11","1","21.090342","0","203"
"/Game/Animations/Materials/Ch10_body1.Ch10_body1","0","52","11","1","21.186680","0","203"
"/Game/FXVarietyPack/Materials/M_ky_flare_flash.M_ky_flare_flash","0","40","11","1","10.342136","0","135"
"/Game/FXVarietyPack/Materials/M_ky_vortex04_4x4.M_ky_vortex04_4x4","0","80","22","2","20.368549","0","270"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeBillboardMaster.SpeedTreeBillboardMaster","0","68","11","1","35.939056","0","374"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeMaster.SpeedTreeMaster","0","100","11","1","56.929264","0","712"
"/Game/FXVarietyPack/Materials/M_ky_stone02.M_ky_stone02","0","55","12","1","15.479648","0","236"
"/Game/FXVarietyPack/Materials/M_ky_stormDeco01.M_ky_stormDeco01","0","49","11","1","12.500718","0","197"
"/Game/FXVarietyPack/Materials/M_ky_storm01.M_ky_storm01","0","98","22","2","25.289677","0","394"
"/Game/FXVarietyPack/Materials/M_ky_base_turbulence.M_ky_base_turbulence","0","49","11","1","12.333707","0","197"
"/Game/AssetsvilleTown/Materials/MasterMaterials/M_BaseTexture.M_BaseTexture","0","99","11","1","45.230358","0","609"
"/Game/AssetsvilleTown/Materials/MasterMaterials/M_Plants.M_Plants","0","100","12","1","44.960197","0","718"
"/Game/AssetsvilleTown/Materials/MasterMaterials/M_BaseColorPalette.M_BaseColorPalette","0","99","14","1","45.219929","0","649"
"/Game/AssetsvilleTown/Materials/MasterMaterials/M_AlphaTest.M_AlphaTest","0","50","13","1","20.991552","0","218"
"/Engine/EngineSky/M_Sky_Panning_Clouds2.M_Sky_Panning_Clouds2","0","8","8","1","3.356969","0","8"
"/Game/AssetsvilleTown/Materials/MasterMaterials/M_BaseColor.M_BaseColor","0","99","12","1","44.344738","0","639"
"/Game/AssetsvilleTown/Materials/MasterMaterials/M_Glass.M_Glass","0","100","12","1","74.823318","0","620"
"/Engine/EngineSky/M_SimpleSkyDome.M_SimpleSkyDome","0","8","8","1","3.154027","0","8"
